timestamp,vehicle_speed,vehicle_rpm
2019-02-18 23:45:15.358,0,2948
2019-02-18 23:45:15.375,0,2948
2019-02-18 23:45:15.380,0,2948
2019-02-18 23:45:15.388,0,2949
2019-02-18 23:45:15.406,0,2949
2019-02-18 23:45:15.412,0,2949
2019-02-18 23:45:15.420,0,2949
2019-02-18 23:45:15.432,0,2949
2019-02-18 23:45:15.441,0,2950
2019-02-18 23:45:15.449,0,2950
2019-02-18 23:45:15.461,0,2951
2019-02-18 23:45:15.470,0,2951
2019-02-18 23:45:15.474,0,2951
2019-02-18 23:45:15.489,0,2952
2019-02-18 23:45:15.500,0,2952
2019-02-18 23:45:15.504,0,2953
2019-02-18 23:45:15.512,0,2953
2019-02-18 23:45:15.526,0,2953
2019-02-18 23:45:15.531,0,2953
2019-02-18 23:45:15.538,0,2953
2019-02-18 23:45:15.543,0,2952
2019-02-18 23:45:15.554,0,2952
2019-02-18 23:45:15.567,0,2952
2019-02-18 23:45:15.576,0,2952
2019-02-18 23:45:15.592,0,2952
2019-02-18 23:45:15.599,0,2952
2019-02-18 23:45:15.611,0,2952
2019-02-18 23:45:15.625,0,2952
2019-02-18 23:45:15.631,0,2952
2019-02-18 23:45:15.643,0,2952
2019-02-18 23:45:15.652,0,2953
2019-02-18 23:45:15.665,0,2953
2019-02-18 23:45:15.678,0,2953
2019-02-18 23:45:15.685,0,2952
2019-02-18 23:45:15.703,0,2952
2019-02-18 23:45:15.716,0,2952
2019-02-18 23:45:15.725,0,2952
2019-02-18 23:45:15.738,0,2952
2019-02-18 23:45:15.744,0,2951
2019-02-18 23:45:15.754,0,2951
2019-02-18 23:45:15.763,0,2952
2019-02-18 23:45:15.775,0,2952
2019-02-18 23:45:15.785,0,2952
2019-02-18 23:45:15.790,0,2952
2019-02-18 23:45:15.804,0,2952
2019-02-18 23:45:15.816,0,2952
2019-02-18 23:45:15.822,0,2952
2019-02-18 23:45:15.835,0,2952
2019-02-18 23:45:15.840,0,2953
2019-02-18 23:45:15.852,0,2953
2019-02-18 23:45:15.865,0,2952
2019-02-18 23:45:15.872,0,2952
2019-02-18 23:45:15.883,0,2952
2019-02-18 23:45:15.892,0,2951
2019-02-18 23:45:15.903,0,2951
2019-02-18 23:45:15.914,0,2951
2019-02-18 23:45:15.922,0,2951
2019-02-18 23:45:15.933,0,2951
2019-02-18 23:45:15.941,0,2950
2019-02-18 23:45:15.952,0,2950
2019-02-18 23:45:15.964,0,2950
2019-02-18 23:45:15.970,0,2950
2019-02-18 23:45:15.982,0,2950
2019-02-18 23:45:15.993,0,2951
2019-02-18 23:45:16.000,0,2951
2019-02-18 23:45:16.013,0,2951
2019-02-18 23:45:16.020,0,2951
2019-02-18 23:45:16.031,0,2951
2019-02-18 23:45:16.043,0,2951
2019-02-18 23:45:16.049,0,2951
2019-02-18 23:45:16.059,0,2950
2019-02-18 23:45:16.065,0,2950
2019-02-18 23:45:16.080,0,2950
2019-02-18 23:45:16.089,0,2950
2019-02-18 23:45:16.096,0,2950
2019-02-18 23:45:16.110,0,2951
2019-02-18 23:45:16.119,0,2951
2019-02-18 23:45:16.129,0,2951
2019-02-18 23:45:16.140,0,2952
2019-02-18 23:45:16.146,0,2952
2019-02-18 23:45:16.157,0,2953
2019-02-18 23:45:16.169,0,2953
2019-02-18 23:45:16.177,0,2953
2019-02-18 23:45:16.187,0,2953
2019-02-18 23:45:16.196,0,2953
2019-02-18 23:45:16.208,0,2953
2019-02-18 23:45:16.219,0,2953
2019-02-18 23:45:16.226,0,2953
2019-02-18 23:45:16.236,0,2953
2019-02-18 23:45:16.242,0,2953
2019-02-18 23:45:16.256,0,2954
2019-02-18 23:45:16.267,0,2954
2019-02-18 23:45:16.273,0,2954
2019-02-18 23:45:16.284,0,2955
2019-02-18 23:45:16.294,0,2955
2019-02-18 23:45:16.303,0,2956
2019-02-18 23:45:16.316,0,2956
2019-02-18 23:45:16.322,0,2956
2019-02-18 23:45:16.332,0,2957
2019-02-18 23:45:16.342,0,2957
2019-02-18 23:45:16.352,0,2958
2019-02-18 23:45:16.362,0,2958
2019-02-18 23:45:16.368,0,2958
2019-02-18 23:45:16.380,0,2958
2019-02-18 23:45:16.392,0,2958
2019-02-18 23:45:16.398,0,2959
2019-02-18 23:45:16.411,0,2959
2019-02-18 23:45:16.417,0,2959
2019-02-18 23:45:16.429,0,2959
2019-02-18 23:45:16.443,0,2959
2019-02-18 23:45:16.448,0,2960
2019-02-18 23:45:16.459,0,2960
2019-02-18 23:45:16.470,0,2960
2019-02-18 23:45:16.478,0,2961
2019-02-18 23:45:16.489,0,2961
2019-02-18 23:45:16.497,0,2961
2019-02-18 23:45:16.508,0,2961
2019-02-18 23:45:16.516,0,2961
2019-02-18 23:45:16.527,0,2960
2019-02-18 23:45:16.538,0,2960
2019-02-18 23:45:16.544,0,2960
2019-02-18 23:45:16.556,0,2960
2019-02-18 23:45:16.569,0,2960
2019-02-18 23:45:16.575,0,2960
2019-02-18 23:45:16.588,0,2960
2019-02-18 23:45:16.595,0,2961
2019-02-18 23:45:16.607,0,2961
2019-02-18 23:45:16.622,0,2961
2019-02-18 23:45:16.628,0,2961
2019-02-18 23:45:16.640,0,2961
2019-02-18 23:45:16.649,0,2961
2019-02-18 23:45:16.663,0,2961
2019-02-18 23:45:16.677,0,2961
2019-02-18 23:45:16.683,0,2961
2019-02-18 23:45:16.698,0,2961
2019-02-18 23:45:16.710,0,2960
2019-02-18 23:45:16.721,0,2960
2019-02-18 23:45:16.733,0,2960
