timestamp,vehicle_speed,lf_wheel_s,rf_wheel_s,lr_wheel_s,rr_wheel_s,vehicle_rpm,gear,accel_pedal,engine_temp
"2019-11-07 22:04:23.082",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.100",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.119",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.138",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.155",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.174",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.186",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.205",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.222",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.235",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.257",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.267",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.292",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.315",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.324",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.346",0,0,0,0,0,1063,0,0,71
"2019-11-07 22:04:23.356",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.380",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.398",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.407",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.426",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.440",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.461",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.479",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.489",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.509",0,0,0,0,0,1062,0,0,71
"2019-11-07 22:04:23.528",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.542",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.562",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.570",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.587",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.603",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.624",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.641",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.649",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.663",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.681",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.688",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.699",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.706",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.724",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.736",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.743",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.754",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.764",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.773",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.786",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.793",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.807",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.818",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.828",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.839",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.846",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.861",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.872",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.882",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.892",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.909",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.914",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.929",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.935",0,0,0,0,0,1061,0,0,71
"2019-11-07 22:04:23.942",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.947",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.958",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.973",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.985",0,0,0,0,0,1060,0,0,71
"2019-11-07 22:04:23.994",0,0,0,0,0,1060,0,0,71
